date,city,station_id,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,avg_wind_speed_kmh,home_team,away_team,home_score,away_score,competition,stadium,country,neutral,world_cup
2010-09-04,Bloemfontein,68442,Spring,12.9,-1.4,27.2,,5.8,South Africa,Australia,39,41,2010 Tri Nations Series,Free State Stadium,South Africa,False,False
2010-09-11,Sydney,94767,Spring,14.1,10.2,18.7,0.0,15.6,Australia,New Zealand,22,23,2010 Tri Nations Series,Stadium Australia,Australia,False,False
2010-11-06,Dublin,3969,Autumn,5.0,1.7,7.9,3.8,16.5,Ireland,South Africa,21,23,2010 end-of-year test,Aviva Stadium,Ireland,False,False
2010-11-06,London,3772,Autumn,9.1,6.2,11.2,6.6,8.7,England,New Zealand,16,26,2010 Autumn International,Twickenham,England,False,False
2010-11-13,London,3772,Autumn,9.4,8.4,10.4,2.8,12.3,England,Australia,35,18,2010 Autumn International,Twickenham Stadium,England,False,False
2010-11-13,Edinburgh,3171,Autumn,5.4,1.7,7.5,0.0,19.9,Scotland,New Zealand,3,49,2010 end of year rugby tests,Murrayfield,Scotland,False,False
2010-11-20,Montpellier,7643,Autumn,11.7,8.5,14.2,0.0,25.0,France,Argentina,15,9,2010 Autumn International,Stade de la Mosson,France,False,False
2010-11-20,Dublin,3969,Autumn,7.3,3.3,9.0,0.0,16.5,Ireland,New Zealand,18,38,2010 Autumn International,Aviva Stadium,Ireland,False,False
2010-11-20,Edinburgh,3171,Autumn,6.0,3.3,8.5,6.1,16.9,Scotland,South Africa,21,17,2010 Autumn International,Murrayfield,Scotland,False,False
2010-11-27,London,3772,Autumn,-1.1,-3.1,1.5,0.0,7.7,England,South Africa,11,21,2010 Autumn International,Twickenham,England,False,False
2010-11-27,Saint-Denis,7149,Autumn,,-1.3,2.3,0.0,,France,Australia,16,59,2010 Autumn International,Stade de France,France,False,False
2010-11-28,Dublin,3969,Autumn,-4.7,-8.2,-1.6,1.0,12.6,Ireland,Argentina,29,9,2010 Autumn Internationals,Aviva Stadium,Ireland,False,False
2011-02-05,Saint-Denis,7149,Winter,10.0,8.9,11.0,0.0,21.2,France,Scotland,34,21,2011 Six Nations Championship,Stade de France,France,False,False
2011-02-05,Rome,16239,Winter,7.8,,16.4,0.0,,Italy,Ireland,11,13,2011 Six Nations Championship,Stadio Flaminio,Italy,False,False
2011-02-12,London,3772,Winter,8.4,4.7,11.4,2.8,14.6,England,Italy,59,13,2011 Six Nations Championship,Twickenham,England,False,False
2011-02-12,Edinburgh,3171,Winter,4.4,-0.3,7.0,7.9,12.5,Scotland,Wales,6,24,2011 Six Nations Championship,Murrayfield Stadium,Scotland,False,False
2011-02-13,Dublin,3969,Winter,6.3,1.8,9.3,2.0,15.6,Ireland,France,22,25,2011 Six Nations Championship,Aviva Stadium,Ireland,False,False
2011-02-26,Rome,16239,Winter,4.3,-0.2,14.8,0.0,,Italy,Wales,16,24,2011 Six Nations,Stadio Flaminio,Italy,False,False
2011-02-26,London,3772,Winter,8.6,5.5,10.9,6.1,19.8,England,France,17,9,2011 Six Nations Championship,Twickenham,England,False,False
2011-02-27,Edinburgh,3171,Winter,5.1,0.1,10.2,2.5,12.7,Scotland,Ireland,18,21,2011 Six Nations Championship,Murrayfield Stadium,Scotland,False,False
2011-03-12,Rome,16239,Spring,9.3,2.8,14.4,0.0,,Italy,France,22,21,2011 Six Nations Championship,Stadio Flaminio,Italy,False,False
2011-03-13,London,3772,Spring,8.8,4.6,10.6,0.3,9.8,England,Scotland,22,16,2011 Six Nations Championship,Twickenham Stadium,England,False,False
2011-03-19,Edinburgh,3171,Spring,4.5,-1.2,10.7,0.0,14.8,Scotland,Italy,21,8,2011 Six Nations Championship,Murrayfield,Scotland,False,False
2011-03-19,Paris,7149,Spring,7.5,5.6,9.3,0.0,18.3,France,Wales,28,9,2011 Six Nations Championship,Stade de France,France,False,False
2011-03-19,Dublin,3969,Spring,7.2,3.3,12.5,,15.9,Ireland,England,24,8,2011 Six Nations Championship,Aviva Stadium,Ireland,False,False
2011-07-23,Sydney,94767,Winter,10.7,9.1,13.9,47.4,27.2,Australia,South Africa,39,20,2011 Tri Nations Series,Stadium Australia,Australia,False,False
2011-07-30,Wellington,93439,Winter,9.1,,13.2,0.0,,New Zealand,South Africa,40,7,2011 Tri Nations Series,Westpac Stadium,New Zealand,False,False
2011-08-06,Auckland,93110,Winter,14.0,5.7,15.4,0.0,,New Zealand,Australia,30,14,2011 Tri Nations Series,Eden Park,New Zealand,False,False
2011-08-06,London,3772,Summer,16.6,14.3,20.6,0.0,15.6,England,Wales,23,19,2011 Rugby World Cup warm-up,Twickenham,England,False,False
2011-08-06,Edinburgh,3171,Summer,13.1,9.6,17.0,0.0,11.4,Scotland,Ireland,10,6,2011 Rugby World Cup warm-up tests,Murrayfield Stadium,Scotland,False,False
2011-08-13,Bordeaux,7510,Summer,22.6,17.3,30.0,0.2,6.3,France,Ireland,19,12,2011 Rugby World Cup warm up,Stade Chaban-Delmas,France,False,False
2011-08-20,Dublin,3969,Summer,14.5,10.7,18.7,0.0,15.0,Ireland,France,22,26,2011 Rugby World Cup warm up,Aviva Stadium,Ireland,False,False
2011-08-20,Edinburgh,3171,Summer,15.2,10.3,20.5,1.0,20.3,Scotland,Italy,23,12,2011 Rugby World Cup Warm up,Murrayfield,Scotland,False,False
2011-08-27,Dublin,3969,Summer,12.2,9.3,17.6,2.0,26.0,Ireland,England,9,20,2011 Rugby World Cup Warm-up,Aviva Stadium,Ireland,False,False
2011-08-27,Brisbane,94576,Winter,,16.1,20.3,5.2,,Australia,New Zealand,25,20,2011 Tri Nations Series,Lang Park,Australia,False,False
2011-09-11,Wellington,93439,Spring,12.5,10.6,15.9,0.0,,South Africa,Wales,17,16,2011 Rugby World Cup Pool match,Wellington Regional Stadium,New Zealand,True,True
2011-09-11,Auckland,93110,Spring,12.6,,16.4,11.7,,Australia,Italy,32,6,2011 Rugby World Cup Pool match,North Harbour Stadium,New Zealand,True,True
2011-09-17,Auckland,93110,Spring,11.8,,16.5,2.8,,Ireland,Australia,15,6,2011 Rugby World Cup,Eden Park,New Zealand,True,True
2011-09-24,Auckland,93110,Spring,13.9,7.9,17.8,0.0,,New Zealand,France,37,17,2011 Rugby World Cup,Eden Park,New Zealand,False,True
2011-09-25,Wellington,93439,Spring,8.1,,12.7,7.9,,Argentina,Scotland,13,12,2011 Rugby World Cup Pool match,Wellington Regional Stadium,New Zealand,True,True
2011-10-01,Auckland,93110,Spring,15.2,9.8,16.8,0.0,,England,Scotland,16,12,2011 Rugby World Cup Pool Match,Eden Park,New Zealand,True,True
